timestamp_utc,N_obs,trial,role,client_index,t_send_ns,t_recv_ns,latency_ms,status
2026-02-12T05:50:18.374785+00:00,2,0,controller,0,4697184347833899,4697184347966285,0.132386,ok
2026-02-12T05:50:18.374785+00:00,2,0,observer,1,4697184347833899,4697184347986509,0.15261,ok
2026-02-12T05:50:18.374785+00:00,2,0,observer,2,4697184347833899,4697184347996215,0.162316,ok
2026-02-12T05:50:18.374991+00:00,2,1,controller,0,4697184348072506,4697184348192607,0.120101,ok
2026-02-12T05:50:18.374991+00:00,2,1,observer,1,4697184348072506,4697184348210617,0.138111,ok
2026-02-12T05:50:18.374991+00:00,2,1,observer,2,4697184348072506,4697184348218205,0.145699,ok
2026-02-12T05:50:18.375163+00:00,2,2,controller,0,4697184348253280,4697184348363217,0.109937,ok
2026-02-12T05:50:18.375163+00:00,2,2,observer,1,4697184348253280,4697184348381698,0.128418,ok
2026-02-12T05:50:18.375163+00:00,2,2,observer,2,4697184348253280,4697184348390333,0.137053,ok
2026-02-12T05:50:18.375327+00:00,2,3,controller,0,4697184348423555,4697184348529303,0.105748,ok
2026-02-12T05:50:18.375327+00:00,2,3,observer,1,4697184348423555,4697184348547157,0.123602,ok
2026-02-12T05:50:18.375327+00:00,2,3,observer,2,4697184348423555,4697184348554858,0.131303,ok
2026-02-12T05:50:18.375495+00:00,2,4,controller,0,4697184348587201,4697184348695862,0.108661,ok
2026-02-12T05:50:18.375495+00:00,2,4,observer,1,4697184348587201,4697184348713517,0.126316,ok
2026-02-12T05:50:18.375495+00:00,2,4,observer,2,4697184348587201,4697184348722559,0.135358,ok
2026-02-12T05:50:18.375672+00:00,2,5,controller,0,4697184348755046,4697184348873947,0.118901,ok
2026-02-12T05:50:18.375672+00:00,2,5,observer,1,4697184348755046,4697184348891691,0.136645,ok
2026-02-12T05:50:18.375672+00:00,2,5,observer,2,4697184348755046,4697184348899357,0.144311,ok
2026-02-12T05:50:18.375850+00:00,2,6,controller,0,4697184348931611,4697184349051287,0.119676,ok
2026-02-12T05:50:18.375850+00:00,2,6,observer,1,4697184348931611,4697184349069119,0.137508,ok
2026-02-12T05:50:18.375850+00:00,2,6,observer,2,4697184348931611,4697184349077167,0.145556,ok
2026-02-12T05:50:18.376012+00:00,2,7,controller,0,4697184349109774,4697184349213156,0.103382,ok
2026-02-12T05:50:18.376012+00:00,2,7,observer,1,4697184349109774,4697184349230966,0.121192,ok
2026-02-12T05:50:18.376012+00:00,2,7,observer,2,4697184349109774,4697184349238524,0.12875,ok
2026-02-12T05:50:18.376174+00:00,2,8,controller,0,4697184349271479,4697184349376294,0.104815,ok
2026-02-12T05:50:18.376174+00:00,2,8,observer,1,4697184349271479,4697184349393785,0.122306,ok
2026-02-12T05:50:18.376174+00:00,2,8,observer,2,4697184349271479,4697184349401557,0.130078,ok
2026-02-12T05:50:18.376335+00:00,2,9,controller,0,4697184349434676,4697184349537599,0.102923,ok
2026-02-12T05:50:18.376335+00:00,2,9,observer,1,4697184349434676,4697184349555494,0.120818,ok
2026-02-12T05:50:18.376335+00:00,2,9,observer,2,4697184349434676,4697184349563034,0.128358,ok
2026-02-12T05:50:18.376499+00:00,2,10,controller,0,4697184349594915,4697184349701503,0.106588,ok
2026-02-12T05:50:18.376499+00:00,2,10,observer,1,4697184349594915,4697184349719142,0.124227,ok
2026-02-12T05:50:18.376499+00:00,2,10,observer,2,4697184349594915,4697184349726880,0.131965,ok
2026-02-12T05:50:18.376660+00:00,2,11,controller,0,4697184349759487,4697184349862886,0.103399,ok
2026-02-12T05:50:18.376660+00:00,2,11,observer,1,4697184349759487,4697184349880397,0.12091,ok
2026-02-12T05:50:18.376660+00:00,2,11,observer,2,4697184349759487,4697184349888052,0.128565,ok
2026-02-12T05:50:18.376847+00:00,2,12,controller,0,4697184349919923,4697184350048288,0.128365,ok
2026-02-12T05:50:18.376847+00:00,2,12,observer,1,4697184349919923,4697184350066286,0.146363,ok
2026-02-12T05:50:18.376847+00:00,2,12,observer,2,4697184349919923,4697184350074191,0.154268,ok
2026-02-12T05:50:18.377007+00:00,2,13,controller,0,4697184350106272,4697184350209908,0.103636,ok
2026-02-12T05:50:18.377007+00:00,2,13,observer,1,4697184350106272,4697184350227537,0.121265,ok
2026-02-12T05:50:18.377007+00:00,2,13,observer,2,4697184350106272,4697184350235135,0.128863,ok
2026-02-12T05:50:18.377169+00:00,2,14,controller,0,4697184350267799,4697184350371007,0.103208,ok
2026-02-12T05:50:18.377169+00:00,2,14,observer,1,4697184350267799,4697184350388805,0.121006,ok
2026-02-12T05:50:18.377169+00:00,2,14,observer,2,4697184350267799,4697184350396441,0.128642,ok
2026-02-12T05:50:18.377330+00:00,2,15,controller,0,4697184350428144,4697184350533051,0.104907,ok
2026-02-12T05:50:18.377330+00:00,2,15,observer,1,4697184350428144,4697184350550497,0.122353,ok
2026-02-12T05:50:18.377330+00:00,2,15,observer,2,4697184350428144,4697184350558163,0.130019,ok
2026-02-12T05:50:18.377489+00:00,2,16,controller,0,4697184350589917,4697184350691713,0.101796,ok
2026-02-12T05:50:18.377489+00:00,2,16,observer,1,4697184350589917,4697184350709297,0.11938,ok
2026-02-12T05:50:18.377489+00:00,2,16,observer,2,4697184350589917,4697184350717000,0.127083,ok
2026-02-12T05:50:18.377664+00:00,2,17,controller,0,4697184350749613,4697184350866636,0.117023,ok
2026-02-12T05:50:18.377664+00:00,2,17,observer,1,4697184350749613,4697184350884130,0.134517,ok
2026-02-12T05:50:18.377664+00:00,2,17,observer,2,4697184350749613,4697184350891721,0.142108,ok
2026-02-12T05:50:18.377799+00:00,2,18,controller,0,4697184350924379,4697184350995704,0.071325,ok
2026-02-12T05:50:18.377799+00:00,2,18,observer,1,4697184350924379,4697184351010187,0.085808,ok
2026-02-12T05:50:18.377799+00:00,2,18,observer,2,4697184350924379,4697184351026507,0.102128,ok
2026-02-12T05:50:18.377937+00:00,2,19,controller,0,4697184351058209,4697184351140446,0.082237,ok
2026-02-12T05:50:18.377937+00:00,2,19,observer,1,4697184351058209,4697184351148496,0.090287,ok
2026-02-12T05:50:18.377937+00:00,2,19,observer,2,4697184351058209,4697184351164436,0.106227,ok
2026-02-12T05:50:18.378064+00:00,2,20,controller,0,4697184351198215,4697184351268091,0.069876,ok
2026-02-12T05:50:18.378064+00:00,2,20,observer,1,4697184351198215,4697184351276163,0.077948,ok
2026-02-12T05:50:18.378064+00:00,2,20,observer,2,4697184351198215,4697184351291912,0.093697,ok
2026-02-12T05:50:18.378188+00:00,2,21,controller,0,4697184351323701,4697184351392030,0.068329,ok
2026-02-12T05:50:18.378188+00:00,2,21,observer,1,4697184351323701,4697184351400202,0.076501,ok
2026-02-12T05:50:18.378188+00:00,2,21,observer,2,4697184351323701,4697184351415875,0.092174,ok
2026-02-12T05:50:18.378312+00:00,2,22,controller,0,4697184351448442,4697184351516134,0.067692,ok
2026-02-12T05:50:18.378312+00:00,2,22,observer,1,4697184351448442,4697184351524303,0.075861,ok
2026-02-12T05:50:18.378312+00:00,2,22,observer,2,4697184351448442,4697184351539942,0.0915,ok
2026-02-12T05:50:18.378436+00:00,2,23,controller,0,4697184351571399,4697184351639724,0.068325,ok
2026-02-12T05:50:18.378436+00:00,2,23,observer,1,4697184351571399,4697184351647756,0.076357,ok
2026-02-12T05:50:18.378436+00:00,2,23,observer,2,4697184351571399,4697184351663415,0.092016,ok
2026-02-12T05:50:18.378557+00:00,2,24,controller,0,4697184351695113,4697184351761251,0.066138,ok
2026-02-12T05:50:18.378557+00:00,2,24,observer,1,4697184351695113,4697184351769267,0.074154,ok
2026-02-12T05:50:18.378557+00:00,2,24,observer,2,4697184351695113,4697184351785030,0.089917,ok
2026-02-12T05:50:18.378681+00:00,2,25,controller,0,4697184351817524,4697184351885066,0.067542,ok
2026-02-12T05:50:18.378681+00:00,2,25,observer,1,4697184351817524,4697184351892989,0.075465,ok
2026-02-12T05:50:18.378681+00:00,2,25,observer,2,4697184351817524,4697184351908606,0.091082,ok
2026-02-12T05:50:18.378812+00:00,2,26,controller,0,4697184351941179,4697184352016348,0.075169,ok
2026-02-12T05:50:18.378812+00:00,2,26,observer,1,4697184351941179,4697184352024315,0.083136,ok
2026-02-12T05:50:18.378812+00:00,2,26,observer,2,4697184351941179,4697184352040138,0.098959,ok
2026-02-12T05:50:18.378939+00:00,2,27,controller,0,4697184352071992,4697184352142623,0.070631,ok
2026-02-12T05:50:18.378939+00:00,2,27,observer,1,4697184352071992,4697184352150682,0.07869,ok
2026-02-12T05:50:18.378939+00:00,2,27,observer,2,4697184352071992,4697184352166329,0.094337,ok
2026-02-12T05:50:18.379062+00:00,2,28,controller,0,4697184352198576,4697184352265960,0.067384,ok
2026-02-12T05:50:18.379062+00:00,2,28,observer,1,4697184352198576,4697184352273971,0.075395,ok
2026-02-12T05:50:18.379062+00:00,2,28,observer,2,4697184352198576,4697184352289690,0.091114,ok
2026-02-12T05:50:18.379202+00:00,2,29,controller,0,4697184352336429,4697184352405562,0.069133,ok
2026-02-12T05:50:18.379202+00:00,2,29,observer,1,4697184352336429,4697184352413615,0.077186,ok
2026-02-12T05:50:18.379202+00:00,2,29,observer,2,4697184352336429,4697184352429363,0.092934,ok
2026-02-12T05:50:18.379324+00:00,2,30,controller,0,4697184352461562,4697184352528159,0.066597,ok
2026-02-12T05:50:18.379324+00:00,2,30,observer,1,4697184352461562,4697184352536254,0.074692,ok
